0,1,2,3,4
33.1265396,-117.3273853,-20.525,1.605,1.66
33.1265388,-117.3273852,-20.545,1.591,1.61
33.126538,-117.3273848,-20.539,1.63,1.59
33.1265371,-117.3273845,-20.53,1.65,1.63
33.1265365,-117.3273841,-20.547,1.622,1.65
33.1265358,-117.3273837,-20.587,1.615,1.62
33.126535,-117.3273834,-20.584,1.625,1.62
33.1265342,-117.3273829,-20.61,1.663,1.63
33.1265334,-117.3273824,-20.632,1.711,1.66
33.1265327,-117.3273819,-20.644,1.725,1.71
33.1265319,-117.3273816,-20.634,1.696,1.73
33.1265312,-117.3273812,-20.64,1.644,1.7
33.1265305,-117.3273808,-20.655,1.614,1.64
33.1265298,-117.3273804,-20.656,1.612,1.61
33.126529,-117.32738,-20.659,1.632,1.61
33.1265283,-117.3273797,-20.681,1.635,1.63
33.1265276,-117.3273794,-20.697,1.626,1.64
33.1265269,-117.327379,-20.7,1.638,1.63
33.1265262,-117.3273787,-20.732,1.631,1.64
33.1265253,-117.3273783,-20.726,1.649,1.63
33.1265244,-117.3273778,-20.702,1.674,1.65
33.1265236,-117.3273774,-20.705,1.666,1.67
33.1265228,-117.327377,-20.716,1.656,1.67
33.1265221,-117.3273766,-20.732,1.655,1.66
33.1265213,-117.3273762,-20.747,1.674,1.66
33.1265206,-117.3273757,-20.768,1.709,1.67
33.12652,-117.3273753,-20.785,1.672,1.71
33.1265192,-117.3273749,-20.773,1.71,1.67
33.1265183,-117.3273744,-20.773,1.756,1.71
33.1265175,-117.327374,-20.793,1.725,1.76
33.1265169,-117.3273737,-20.786,1.658,1.73
33.1265162,-117.3273736,-20.753,1.601,1.66
33.1265152,-117.3273732,-20.761,1.633,1.6
33.1265146,-117.3273729,-20.78,1.629,1.63
33.1265139,-117.3273725,-20.815,1.645,1.63
33.1265131,-117.3273721,-20.823,1.67,1.65
33.1265124,-117.3273717,-20.836,1.675,1.67
33.1265117,-117.3273714,-20.851,1.652,1.68
33.1265111,-117.327371,-20.873,1.632,1.65
33.1265103,-117.3273707,-20.902,1.625,1.63
33.1265094,-117.3273702,-20.898,1.652,1.63
33.1265085,-117.3273697,-20.884,1.668,1.65
33.1265078,-117.3273692,-20.893,1.664,1.67
33.1265071,-117.3273688,-20.912,1.657,1.66
33.1265065,-117.3273684,-20.93,1.654,1.66
33.1265059,-117.327368,-20.957,1.667,1.65
33.1265051,-117.3273673,-20.973,1.731,1.67
33.1265044,-117.3273668,-20.997,1.735,1.73
33.1265038,-117.3273665,-21.021,1.645,1.74
33.1265032,-117.3273662,-21.043,1.601,1.65
33.1265026,-117.3273658,-21.023,1.591,1.6
33.1265017,-117.3273653,-20.999,1.641,1.59
33.1265011,-117.3273648,-21.039,1.627,1.64
33.1265005,-117.3273644,-21.06,1.607,1.63
33.1264999,-117.3273639,-21.067,1.635,1.61
33.1264992,-117.3273633,-21.084,1.712,1.64
33.1264987,-117.3273629,-21.086,1.63,1.71
33.1264981,-117.3273625,-21.082,1.593,1.63
33.1264973,-117.3273619,-21.09,1.623,1.59
33.1264966,-117.3273613,-21.091,1.673,1.62
33.1264959,-117.3273607,-21.109,1.696,1.67
33.1264954,-117.3273601,-21.101,1.658,1.7
33.1264948,-117.3273595,-21.087,1.645,1.66
33.1264942,-117.3273589,-21.114,1.66,1.64
33.1264937,-117.3273582,-21.112,1.663,1.66
33.1264932,-117.3273576,-21.115,1.647,1.66
33.1264926,-117.3273569,-21.093,1.664,1.65
33.1264922,-117.3273561,-21.144,1.671,1.66
33.1264919,-117.3273553,-21.196,1.64,1.67
33.1264913,-117.3273546,-21.158,1.624,1.64
33.1264909,-117.3273539,-21.148,1.61,1.62
33.1264906,-117.3273531,-21.167,1.576,1.61
33.1264902,-117.3273524,-21.158,1.55,1.58
33.12649,-117.3273516,-21.135,1.544,1.55
33.1264899,-117.3273508,-21.122,1.53,1.54
33.1264897,-117.3273499,-21.121,1.539,1.53
33.1264895,-117.3273489,-21.138,1.572,1.54
33.1264892,-117.327348,-21.162,1.581,1.57
33.1264892,-117.3273472,-21.159,1.534,1.58
33.1264892,-117.3273465,-21.169,1.5,1.53
33.1264892,-117.3273456,-21.168,1.513,1.5
33.1264893,-117.3273447,-21.159,1.505,1.51
33.1264893,-117.3273438,-21.125,1.526,1.5
33.1264894,-117.327343,-21.128,1.534,1.53
33.1264896,-117.3273421,-21.12,1.53,1.53
33.1264897,-117.3273412,-21.12,1.541,1.53
33.1264897,-117.3273403,-21.119,1.539,1.54
33.1264897,-117.3273395,-21.116,1.489,1.54
33.1264899,-117.3273388,-21.118,1.449,1.49
33.1264901,-117.327338,-21.132,1.413,1.45
33.1264902,-117.3273371,-21.132,1.441,1.41
33.1264903,-117.3273362,-21.132,1.476,1.44
33.1264905,-117.3273354,-21.148,1.473,1.48
33.1264906,-117.3273345,-21.165,1.483,1.47
33.1264909,-117.3273336,-21.148,1.507,1.48
33.126491,-117.3273327,-21.143,1.548,1.51
33.1264912,-117.3273317,-21.158,1.57,1.55
33.1264913,-117.3273308,-21.162,1.565,1.57
33.1264916,-117.3273299,-21.168,1.587,1.56
33.1264918,-117.327329,-21.161,1.588,1.59
33.1264918,-117.3273281,-21.163,1.565,1.59
33.126492,-117.3273273,-21.148,1.558,1.57
33.1264924,-117.3273265,-21.137,1.56,1.56
33.1264927,-117.3273256,-21.133,1.579,1.56
33.1264929,-117.3273247,-21.119,1.581,1.58
33.1264932,-117.327324,-21.121,1.549,1.58
33.1264936,-117.3273232,-21.117,1.546,1.55
33.1264941,-117.3273225,-21.108,1.514,1.55
33.1264945,-117.3273218,-21.096,1.515,1.51
33.1264947,-117.327321,-21.09,1.496,1.51
33.126495,-117.3273202,-21.084,1.514,1.5
